epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,422.733,3.59483,5.0361,2.7388,0.00078,0.04545,0.00048,0.00013,3.88344,4.39393,3.05346,0.00100459,0.00100459,0.00100459
62,429.522,3.66358,4.88897,2.76965,0.00061,0.0303,0.00039,8e-05,3.82562,4.53672,3.08841,0.000997513,0.000997513,0.000997513
63,436.9,3.82279,5.05571,2.78876,0.00046,0.01515,0.00027,5e-05,3.88606,4.63987,3.08337,0.00099044,0.00099044,0.00099044
64,444.257,3.58842,5.15641,2.68799,0.00046,0.01515,0.00027,5e-05,3.90417,4.97692,3.06033,0.000983366,0.000983366,0.000983366
65,451.518,3.61598,5.03755,2.70943,0.00046,0.01515,0.00027,5e-05,4.068,5.31134,3.04527,0.000976293,0.000976293,0.000976293
66,457.271,3.64111,4.83289,2.70643,0.00026,0.0303,0.00015,1e-05,3.86936,5.28166,2.97777,0.000969219,0.000969219,0.000969219
67,462.403,3.70363,5.09981,2.73417,0.00194,0.06629,0.00141,0.00038,3.7859,4.63025,3.01816,0.000962146,0.000962146,0.000962146
68,469.484,3.52678,5.00287,2.65499,0.0011,0.05682,0.00078,0.00021,4.08587,4.70328,3.08184,0.000955072,0.000955072,0.000955072
69,476.636,3.61649,5.27694,2.8331,0.00068,0.05114,0.00041,0.00013,4.24555,5.07501,3.58557,0.000947999,0.000947999,0.000947999
70,483.922,3.55569,4.99663,2.74504,0.00068,0.05114,0.00041,0.00013,4.26241,5.00966,3.17529,0.000940925,0.000940925,0.000940925
71,490.916,3.52206,5.0453,2.73033,0.00068,0.05114,0.00041,0.00013,3.98647,5.01196,3.17475,0.000933851,0.000933851,0.000933851
72,496.754,3.56859,4.91398,2.74587,0.00068,0.05114,0.00041,0.00013,3.8639,5.14548,3.16772,0.000926778,0.000926778,0.000926778
73,501.849,3.63544,5.03833,2.77375,0.00068,0.05114,0.00041,0.00013,3.91716,137.3,2.95579,0.000919704,0.000919704,0.000919704
74,508.663,3.59288,5.058,2.7757,0.00089,0.03598,0.00056,0.00011,4.24559,8.50951,3.08199,0.000912631,0.000912631,0.000912631
75,515.792,3.42886,5.0894,2.74256,0.00089,0.03598,0.00056,0.00011,4.43298,5.16631,3.4123,0.000905557,0.000905557,0.000905557
76,522.768,3.53302,5.01163,2.78159,0.00089,0.03598,0.00056,0.00011,3.77487,5.04689,3.02037,0.000898484,0.000898484,0.000898484
77,529.748,3.49162,4.88216,2.67137,0.00089,0.03598,0.00056,0.00011,3.63257,4.68845,2.90364,0.00089141,0.00089141,0.00089141
78,536.602,3.46004,5.10134,2.73601,0.00089,0.03598,0.00056,0.00011,3.6355,4.55067,2.88093,0.000884337,0.000884337,0.000884337
79,542.282,3.55293,5.05754,2.78106,0.00089,0.03598,0.00056,0.00011,3.69869,4.64663,2.90722,0.000877263,0.000877263,0.000877263
80,547.406,3.58333,4.88775,2.80919,0.00089,0.03598,0.00056,0.00011,3.69502,4.70466,2.88042,0.00087019,0.00087019,0.00087019
81,554.624,3.48684,5.02587,2.73156,0.00089,0.03598,0.00056,0.00011,3.6451,4.67426,2.8733,0.000863116,0.000863116,0.000863116
82,561.724,3.52806,4.9737,2.82568,0.00018,0.0303,0.0001,3e-05,3.59233,4.51992,2.88027,0.000856042,0.000856042,0.000856042
83,568.549,3.61823,5.02606,2.85612,0.00188,0.03598,0.00117,0.00024,3.54673,4.44644,2.83397,0.000848969,0.000848969,0.000848969
84,575.633,3.47314,5.00235,2.77836,0.00014,0.01515,9e-05,3e-05,3.51522,4.46197,2.83957,0.000841895,0.000841895,0.000841895
85,581.487,3.39391,5.01762,2.64372,0.00027,0.01515,0.00015,3e-05,3.54939,4.55727,2.86644,0.000834822,0.000834822,0.000834822
86,586.597,3.38809,4.95793,2.66762,0.00027,0.01515,0.00015,3e-05,3.54434,4.80333,2.92511,0.000827748,0.000827748,0.000827748
87,593.46,3.59078,4.95446,2.77788,0.00033,0.01515,0.0002,2e-05,3.57604,4.91882,2.961,0.000820675,0.000820675,0.000820675
88,600.754,3.55658,5.10427,2.77244,0.00033,0.01515,0.0002,2e-05,3.64587,4.87556,2.97537,0.000813601,0.000813601,0.000813601
89,607.874,3.47879,4.93188,2.6557,0.00037,0.01515,0.00019,4e-05,3.66488,4.71339,2.96819,0.000806528,0.000806528,0.000806528
90,614.97,3.48394,4.87931,2.67463,0.00037,0.01515,0.00019,4e-05,3.76713,4.93025,2.97624,0.000799454,0.000799454,0.000799454
91,621.03,3.54096,5.00884,2.62387,0.00037,0.01515,0.00019,4e-05,3.7536,4.81261,2.92183,0.00079238,0.00079238,0.00079238
92,626.413,3.50795,4.91481,2.6986,0.00037,0.01515,0.00019,4e-05,3.71784,4.79649,2.90149,0.000785307,0.000785307,0.000785307
93,632.135,3.50961,5.09601,2.70276,0.00017,0.01515,9e-05,4e-05,3.72234,5.02798,2.98284,0.000778233,0.000778233,0.000778233
94,639.028,3.55476,4.98039,2.68066,0.00039,0.04545,0.00035,8e-05,3.62424,4.59932,2.88003,0.00077116,0.00077116,0.00077116
95,646.236,3.5023,5.04132,2.65639,0.00039,0.04545,0.00035,8e-05,3.62205,4.72355,2.8995,0.000764086,0.000764086,0.000764086
96,653.24,3.3901,4.96743,2.55537,0.00039,0.04545,0.00035,8e-05,3.60853,4.96722,2.84298,0.000757013,0.000757013,0.000757013
97,660.221,3.47385,5.05111,2.71569,0.00039,0.04545,0.00035,8e-05,3.51049,4.75599,2.79101,0.000749939,0.000749939,0.000749939
98,666.147,3.30057,5.04452,2.62631,0.00011,0.01515,6e-05,3e-05,3.56168,4.51125,2.82797,0.000742866,0.000742866,0.000742866
99,671.299,3.37121,4.9861,2.75671,0.00036,0.04167,0.00024,0.00013,3.58008,4.48157,2.9059,0.000735792,0.000735792,0.000735792
100,678.442,3.53621,4.96441,2.77033,0.00024,0.0303,0.00014,1e-05,4.25235,5.1359,3.3437,0.000728719,0.000728719,0.000728719
101,685.695,3.4712,4.84661,2.68122,0.00012,0.01515,8e-05,1e-05,3.15735,4.37151,2.43907,0.000721645,0.000721645,0.000721645
102,692.813,3.32489,4.81447,2.64968,0.00054,0.01515,0.00029,6e-05,3.26661,4.08893,2.51172,0.000714571,0.000714571,0.000714571
103,699.924,3.32072,4.83959,2.59542,0.00082,0.01515,0.00043,0.00013,3.62105,4.96931,2.90441,0.000707498,0.000707498,0.000707498
104,705.828,3.37186,5.02696,2.62586,0.00082,0.01515,0.00043,0.00013,3.56688,4.95343,2.87974,0.000700424,0.000700424,0.000700424
105,711.223,3.42827,5.0458,2.70782,0.00082,0.01515,0.00043,0.00013,3.64474,4.97696,2.92193,0.000693351,0.000693351,0.000693351
106,717.792,3.38224,4.91704,2.68472,0.00082,0.01515,0.00043,0.00013,3.58743,4.8758,2.8762,0.000686277,0.000686277,0.000686277
107,724.98,3.44286,4.86556,2.68418,0.00091,0.07576,0.00068,0.00016,3.47222,4.62413,2.79506,0.000679204,0.000679204,0.000679204
108,732.091,3.40315,4.859,2.68951,0.00051,0.07576,0.00054,0.00012,3.45719,4.60293,2.80329,0.00067213,0.00067213,0.00067213
109,739.274,3.27088,4.8847,2.6157,0.00031,0.0303,0.00019,3e-05,3.51773,4.68102,2.81391,0.000665057,0.000665057,0.000665057
110,746.098,3.38719,4.84311,2.64025,0.00031,0.0303,0.00019,3e-05,3.48342,4.60957,2.81857,0.000657983,0.000657983,0.000657983
111,751.618,3.38318,4.8184,2.61108,0.00182,0.02083,0.00151,0.00084,3.3959,4.36436,2.76606,0.000650909,0.000650909,0.000650909
112,757.348,3.49746,4.83771,2.61509,0.00039,0.06061,0.00025,5e-05,3.39585,4.19976,2.7371,0.000643836,0.000643836,0.000643836
113,764.62,3.35736,4.90203,2.58106,0.00035,0.06061,0.00027,5e-05,3.40719,4.2107,2.74329,0.000636762,0.000636762,0.000636762
114,771.686,3.39999,5.39394,2.65245,0.00035,0.06061,0.00027,5e-05,3.39833,4.50232,2.77102,0.000629689,0.000629689,0.000629689
115,778.959,3.31236,4.93771,2.59477,0.00019,0.01515,0.00011,3e-05,3.40723,4.56141,2.78454,0.000622615,0.000622615,0.000622615
116,786.363,3.38906,4.99156,2.65632,0.00039,0.0303,0.00026,5e-05,3.46521,4.58361,2.82282,0.000615542,0.000615542,0.000615542
117,792.375,3.28147,4.77467,2.58244,0.00039,0.0303,0.00026,5e-05,3.52811,4.66986,2.90423,0.000608468,0.000608468,0.000608468
118,797.55,3.39808,4.82377,2.63432,0.00039,0.0303,0.00026,5e-05,3.52735,4.5957,2.90867,0.000601395,0.000601395,0.000601395
119,804.479,3.31059,4.95505,2.67123,0.00038,0.01515,0.00022,4e-05,3.47514,4.5161,2.84622,0.000594321,0.000594321,0.000594321
120,811.498,3.44888,4.81719,2.71361,0.00038,0.01515,0.00022,4e-05,3.49582,4.59065,2.87159,0.000587248,0.000587248,0.000587248
121,818.696,3.35542,4.87284,2.59494,0.00038,0.01515,0.00022,4e-05,3.58474,4.69035,2.93757,0.000580174,0.000580174,0.000580174
122,826.077,3.43246,4.89788,2.68643,0.00017,0.01515,9e-05,1e-05,3.54014,4.63203,2.8537,0.0005731,0.0005731,0.0005731
123,833.722,3.3833,5.05527,2.70977,0.00048,0.0303,0.00033,9e-05,3.50678,4.64267,2.83819,0.000566027,0.000566027,0.000566027
124,838.962,3.31477,4.88559,2.61803,0.00069,0.0303,0.00041,0.0001,3.39184,4.56003,2.75364,0.000558953,0.000558953,0.000558953
125,845.847,3.29639,4.82674,2.54477,0.00049,0.04545,0.00035,0.00012,3.38902,4.38834,2.76586,0.00055188,0.00055188,0.00055188
126,852.935,3.33976,4.80191,2.55987,0.00023,0.0303,0.00013,6e-05,3.59342,4.36904,2.88109,0.000544806,0.000544806,0.000544806
127,860.132,3.3498,4.84427,2.60733,0.00023,0.0303,0.00013,6e-05,3.57595,4.45567,2.86307,0.000537733,0.000537733,0.000537733
128,867.22,3.4102,4.98061,2.61636,0.00023,0.0303,0.00013,6e-05,3.53301,4.57706,2.82804,0.000530659,0.000530659,0.000530659
129,873.623,3.36166,4.93102,2.61186,0.00033,0.01515,0.00019,4e-05,3.57885,4.56237,2.86085,0.000523586,0.000523586,0.000523586
130,879.273,3.38412,4.82418,2.6055,0.00035,0.0303,0.00023,4e-05,3.56977,4.58137,2.8621,0.000516512,0.000516512,0.000516512
131,886.785,3.29662,4.84644,2.57571,0.00021,0.0303,0.00014,5e-05,3.46415,4.57893,2.7768,0.000509438,0.000509438,0.000509438
132,893.91,3.45477,4.86189,2.63527,0.0002,0.0303,0.00011,3e-05,3.34797,4.61088,2.72724,0.000502365,0.000502365,0.000502365
133,901.524,3.36396,4.72171,2.55018,0.00024,0.0303,0.00014,4e-05,3.32161,4.46422,2.72422,0.000495291,0.000495291,0.000495291
134,908.438,3.29562,4.86055,2.5925,0.00024,0.0303,0.00014,4e-05,3.39733,4.50319,2.78344,0.000488218,0.000488218,0.000488218
